Title,Code,Type,2019EmpNum,2029EmpProjNum,2019Dist,2029ProjDist,10yrChgNum,10yrChgPct, AnnAvgOpens 
Precision instrument and equipment repairers,49-9060,Summary,82.40,84.00,0.10,0.00,1.60,1.90,7.90
Camera and photographic equipment repairers,49-9061,Line item,4.20,4.30,0.00,0.00,0.10,2.60,0.40
Medical equipment repairers,49-9062,Line item,53.90,56.70,0.00,0.00,2.80,5.10,5.40
Musical instrument repairers and tuners,49-9063,Line item,8.90,8.30,0.00,0.00,-0.60,-7.10,0.70
Watch and clock repairers,49-9064,Line item,3.20,2.10,0.00,0.00,-1.00,-32.30,0.10
"Precision instrument and equipment repairers, all other",49-9069,Line item,12.20,12.60,0.00,0.00,0.40,3.30,1.20
"Maintenance and repair workers, general",49-9071,Line item,1516.40,1579.40,0.90,0.90,63.00,4.20,139.40
Wind turbine service technicians,49-9081,Line item,7.00,11.30,0.00,0.00,4.30,60.70,1.30
"Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,383.80,391.20,0.20,0.20,7.30,1.90,40.40
"Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,37.00,36.30,0.00,0.00,-0.80,-2.00,3.90
Commercial divers,49-9092,Line item,4.00,4.20,0.00,0.00,0.20,4.70,0.40
Locksmiths and safe repairers,49-9094,Line item,21.10,19.50,0.00,0.00,-1.60,-7.50,1.70
Manufactured building and mobile home installers,49-9095,Line item,2.90,2.20,0.00,0.00,-0.60,-22.30,0.10
Riggers,49-9096,Line item,23.50,24.60,0.00,0.00,1.10,4.60,2.10
Signal and track switch repairers,49-9097,Line item,6.60,6.50,0.00,0.00,0.00,-0.70,0.60
"Helpers--installation, maintenance, and repair workers",49-9098,Line item,101.10,105.50,0.10,0.10,4.40,4.40,13.00
"Installation, maintenance, and repair workers, all other",49-9099,Line item,187.70,192.40,0.10,0.10,4.70,2.50,18.50
Production occupations,51-0000,Summary,9447.00,9023.80,5.80,5.30,-423.20,-4.50,886.30
Supervisors of production workers,51-1000,Summary,648.90,646.90,0.40,0.40,-2.00,-0.30,56.90
First-line supervisors of production and operating workers,51-1011,Line item,648.90,646.90,0.40,0.40,-2.00,-0.30,56.90
Assemblers and fabricators,51-2000,Summary,1883.70,1679.40,1.20,1.00,-204.30,-10.80,156.30
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,43.90,36.30,0.00,0.00,-7.60,-17.40,2.60
"Electrical, electronics, and electromechanical assemblers",51-2020,Summary,304.60,306.40,0.20,0.20,1.80,0.60,29.80
"Coil winders, tapers, and finishers",51-2021,Line item,13.00,10.50,0.00,0.00,-2.40,-18.70,0.90
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,291.70,295.90,0.20,0.20,4.20,1.40,28.90
Engine and other machine assemblers,51-2031,Line item,45.90,39.00,0.00,0.00,-7.00,-15.20,3.20
Structural metal fabricators and fitters,51-2041,Line item,78.50,66.00,0.00,0.00,-12.50,-16.00,5.60
Fiberglass laminators and fabricators,51-2051,Line item,20.40,19.30,0.00,0.00,-1.10,-5.30,1.90
Timing device assemblers and adjusters,51-2061,Line item,1.30,1.00,0.00,0.00,-0.30,-22.30,0.10
Miscellaneous assemblers and fabricators,51-2090,Line item,1389.10,1211.50,0.90,0.70,-177.60,-12.80,113.20
Food processing workers,51-3000,Summary,832.80,853.00,0.50,0.50,20.20,2.40,98.10
Bakers,51-3011,Line item,199.30,209.90,0.10,0.10,10.60,5.30,26.00
"Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,374.30,381.90,0.20,0.20,7.60,2.00,40.80
Butchers and meat cutters,51-3021,Line item,137.50,139.80,0.10,0.10,2.30,1.70,14.90
"Meat, poultry, and fish cutters and trimmers",51-3022,Line item,161.80,164.50,0.10,0.10,2.70,1.70,17.50
Slaughterers and meat packers,51-3023,Line item,75.00,77.50,0.00,0.00,2.50,3.30,8.30
Miscellaneous food processing workers,51-3090,Summary,259.20,261.30,0.20,0.20,2.10,0.80,31.30
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,22.10,21.90,0.00,0.00,-0.20,-0.80,2.40
Food batchmakers,51-3092,Line item,162.50,164.70,0.10,0.10,2.10,1.30,20.10
Food cooking machine operators and tenders,51-3093,Line item,30.40,30.60,0.00,0.00,0.20,0.50,4.80
"Food processing workers, all other",51-3099,Line item,44.20,44.10,0.00,0.00,-0.10,-0.10,4.00
Metal workers and plastic workers,51-4000,Summary,1871.20,1823.20,1.10,1.10,-48.00,-2.60,165.80
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,126.40,111.10,0.10,0.10,-15.30,-12.10,10.00
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,77.40,69.20,0.00,0.00,-8.20,-10.50,6.80
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,16.40,13.00,0.00,0.00,-3.50,-21.10,0.90
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,32.60,28.90,0.00,0.00,-3.70,-11.30,2.30
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,331.30,300.20,0.20,0.20,-31.10,-9.40,26.70
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,195.70,179.40,0.10,0.10,-16.30,-8.30,16.00
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,11.20,9.10,0.00,0.00,-2.10,-19.00,0.70
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,77.10,70.80,0.00,0.00,-6.30,-8.20,6.80
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,28.20,25.30,0.00,0.00,-2.90,-10.10,2.00
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,19.20,15.60,0.00,0.00,-3.60,-18.60,1.20
Machinists,51-4041,Line item,388.10,404.40,0.20,0.20,16.30,4.20,38.00
"Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,25.10,24.40,0.00,0.00,-0.70,-2.80,2.00
Metal-refining furnace operators and tenders,51-4051,Line item,17.10,17.10,0.00,0.00,0.00,0.00,1.40
"Pourers and casters, metal",51-4052,Line item,8.00,7.30,0.00,0.00,-0.70,-8.60,0.60
"Model makers and patternmakers, metal and plastic",51-4060,Summary,7.50,6.90,0.00,0.00,-0.60,-8.30,0.60
"Model makers, metal and plastic",51-4061,Line item,4.40,4.10,0.00,0.00,-0.40,-8.20,0.30
"Patternmakers, metal and plastic",51-4062,Line item,3.10,2.80,0.00,0.00,-0.30,-8.40,0.20
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,191.00,173.20,0.10,0.10,-17.70,-9.30,14.00
Foundry mold and coremakers,51-4071,Line item,17.60,16.50,0.00,0.00,-1.00,-5.80,1.40
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,173.40,156.70,0.10,0.10,-16.70,-9.60,12.60
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,150.50,153.60,0.10,0.10,3.10,2.10,14.00
Tool and die makers,51-4111,Line item,72.50,68.60,0.00,0.00,-3.90,-5.40,6.00
"Welding, soldering, and brazing workers",51-4120,Summary,476.10,487.20,0.30,0.30,11.10,2.30,46.60
"Welders, cutters, solderers, and brazers",51-4121,Line item,438.90,452.50,0.30,0.30,13.60,3.10,43.40
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,37.20,34.70,0.00,0.00,-2.50,-6.80,3.10
Miscellaneous metal workers and plastic workers,51-4190,Summary,102.60,93.50,0.10,0.10,-9.10,-8.90,7.90
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,20.10,18.00,0.00,0.00,-2.10,-10.30,1.50
"Layout workers, metal and plastic",51-4192,Line item,8.50,7.60,0.00,0.00,-0.90,-10.20,0.60
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,42.10,38.40,0.00,0.00,-3.70,-8.80,3.00
"Tool grinders, filers, and sharpeners",51-4194,Line item,7.10,6.80,0.00,0.00,-0.30,-4.80,0.80
"Metal workers and plastic workers, all other",51-4199,Line item,24.90,22.70,0.00,0.00,-2.10,-8.60,1.90
Printing workers,51-5100,Summary,256.80,219.70,0.20,0.10,-37.10,-14.40,20.80
Prepress technicians and workers,51-5111,Line item,30.20,24.00,0.00,0.00,-6.30,-20.70,2.50
Printing press operators,51-5112,Line item,181.40,157.20,0.10,0.10,-24.20,-13.30,14.10
Print binding and finishing workers,51-5113,Line item,45.20,38.50,0.00,0.00,-6.70,-14.80,4.30
"Textile, apparel, and furnishings workers",51-6000,Summary,617.80,580.40,0.40,0.30,-37.40,-6.10,61.30
Laundry and dry-cleaning workers,51-6011,Line item,215.20,215.60,0.10,0.10,0.50,0.20,25.60
"Pressers, textile, garment, and related materials",51-6021,Line item,38.30,31.10,0.00,0.00,-7.20,-18.90,2.90
Sewing machine operators,51-6031,Line item,146.50,132.80,0.10,0.10,-13.70,-9.30,12.70
Shoe and leather workers,51-6040,Summary,16.20,14.30,0.00,0.00,-1.90,-11.70,1.50
Shoe and leather workers and repairers,51-6041,Line item,10.80,9.70,0.00,0.00,-1.10,-10.30,1.00
Shoe machine operators and tenders,51-6042,Line item,5.30,4.60,0.00,0.00,-0.80,-14.50,0.50
"Tailors, dressmakers, and sewers",51-6050,Summary,44.80,42.60,0.00,0.00,-2.20,-4.90,5.10
"Sewers, hand",51-6051,Line item,7.50,6.90,0.00,0.00,-0.60,-7.90,0.80
"Tailors, dressmakers, and custom sewers",51-6052,Line item,37.30,35.70,0.00,0.00,-1.60,-4.30,4.30
"Textile machine setters, operators, and tenders",51-6060,Summary,78.00,69.30,0.00,0.00,-8.60,-11.10,6.30
Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,9.00,7.90,0.00,0.00,-1.10,-11.90,0.90
"Textile cutting machine setters, operators, and tenders",51-6062,Line item,13.10,11.80,0.00,0.00,-1.40,-10.50,0.90
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,24.80,21.60,0.00,0.00,-3.20,-12.80,2.40
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,31.00,28.00,0.00,0.00,-3.00,-9.70,2.20
"Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,79.00,74.70,0.00,0.00,-4.20,-5.30,7.20
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,19.00,17.80,0.00,0.00,-1.20,-6.40,2.00
Fabric and apparel patternmakers,51-6092,Line item,6.00,5.40,0.00,0.00,-0.70,-11.40,0.60
Upholsterers,51-6093,Line item,35.20,33.90,0.00,0.00,-1.40,-4.00,2.50
"Textile, apparel, and furnishings workers, all other",51-6099,Line item,18.70,17.80,0.00,0.00,-0.90,-4.90,2.00
Woodworkers,51-7000,Summary,277.20,267.10,0.20,0.20,-10.20,-3.70,26.70
Cabinetmakers and bench carpenters,51-7011,Line item,112.20,108.90,0.10,0.10,-3.30,-2.90,9.30
Furniture finishers,51-7021,Line item,17.40,16.70,0.00,0.00,-0.60,-3.70,1.70
"Model makers and patternmakers, wood",51-7030,Summary,2.10,2.10,0.00,0.00,0.00,-1.70,0.20
"Model makers, wood",51-7031,Line item,1.40,1.40,0.00,0.00,0.00,-0.20,0.10
"Patternmakers, wood",51-7032,Line item,0.70,0.60,0.00,0.00,0.00,-4.70,0.10
"Woodworking machine setters, operators, and tenders",51-7040,Summary,133.80,128.20,0.10,0.10,-5.60,-4.20,14.40
"Sawing machine setters, operators, and tenders, wood",51-7041,Line item,54.50,50.80,0.00,0.00,-3.80,-6.90,5.00
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,79.30,77.40,0.00,0.00,-1.90,-2.40,9.30
"Woodworkers, all other",51-7099,Line item,11.70,11.10,0.00,0.00,-0.50,-4.60,1.10
Plant and system operators,51-8000,Summary,311.00,296.40,0.20,0.20,-14.60,-4.70,24.80
"Power plant operators, distributors, and dispatchers",51-8010,Summary,51.70,43.70,0.00,0.00,-8.10,-15.60,3.10
Nuclear power reactor operators,51-8011,Line item,5.30,3.40,0.00,0.00,-1.90,-35.70,0.20
Power distributors and dispatchers,51-8012,Line item,11.20,10.30,0.00,0.00,-0.90,-7.70,0.80
Power plant operators,51-8013,Line item,35.30,30.00,0.00,0.00,-5.30,-15.10,2.10
Stationary engineers and boiler operators,51-8021,Line item,34.40,35.10,0.00,0.00,0.80,2.20,3.50
Water and wastewater treatment plant and system operators,51-8031,Line item,126.40,121.00,0.10,0.10,-5.40,-4.20,9.20
Miscellaneous plant and system operators,51-8090,Summary,98.50,96.50,0.10,0.10,-1.90,-2.00,8.90
Chemical plant and system operators,51-8091,Line item,29.20,28.30,0.00,0.00,-0.90,-3.10,2.60
Gas plant operators,51-8092,Line item,14.70,13.90,0.00,0.00,-0.80,-5.60,1.30
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,41.30,41.10,0.00,0.00,-0.20,-0.50,3.80
"Plant and system operators, all other",51-8099,Line item,13.20,13.20,0.00,0.00,0.00,0.00,1.20
Other production occupations,51-9000,Summary,2747.50,2657.70,1.70,1.60,-89.80,-3.30,275.70
"Chemical processing machine setters, operators, and tenders",51-9010,Summary,141.60,144.90,0.10,0.10,3.30,2.40,14.10
Chemical equipment operators and tenders,51-9011,Line item,88.50,90.00,0.10,0.10,1.50,1.70,8.70
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,53.10,54.90,0.00,0.00,1.90,3.50,5.40
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,192.30,186.20,0.10,0.10,-6.10,-3.20,18.70
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,35.30,33.30,0.00,0.00,-2.00,-5.70,3.30
"Grinding and polishing workers, hand",51-9022,Line item,29.00,23.40,0.00,0.00,-5.60,-19.50,2.10
"Mixing and blending machine setters, operators, and tenders",51-9023,Line item,128.00,129.50,0.10,0.10,1.60,1.20,13.30
Cutting workers,51-9030,Summary,69.70,63.90,0.00,0.00,-5.80,-8.30,6.30
"Cutters and trimmers, hand",51-9031,Line item,9.80,6.90,0.00,0.00,-2.90,-29.90,0.60
"Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,59.80,57.00,0.00,0.00,-2.90,-4.80,5.70
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,72.40,70.10,0.00,0.00,-2.30,-3.10,6.80
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,21.60,21.50,0.00,0.00,-0.20,-0.70,1.90
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,590.10,489.60,0.40,0.30,-100.40,-17.00,48.30
Jewelers and precious stone and metal workers,51-9071,Line item,35.10,31.60,0.00,0.00,-3.50,-10.00,3.60
Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Summary,81.20,88.60,0.00,0.10,7.40,9.10,10.30
Dental laboratory technicians,51-9081,Line item,36.20,39.60,0.00,0.00,3.40,9.40,4.60
Medical appliance technicians,51-9082,Line item,14.80,16.50,0.00,0.00,1.70,11.50,1.90
Ophthalmic laboratory technicians,51-9083,Line item,30.20,32.50,0.00,0.00,2.30,7.60,3.70
Packaging and filling machine operators and tenders,51-9111,Line item,392.10,397.60,0.20,0.20,5.50,1.40,40.60
Painting workers,51-9120,Summary,164.20,166.70,0.10,0.10,2.50,1.50,15.70
"Painting, coating, and decorating workers",51-9123,Line item,12.80,12.70,0.00,0.00,-0.10,-0.50,1.20
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,151.40,153.90,0.10,0.10,2.60,1.70,14.50
Semiconductor processing technicians,51-9141,Line item,30.80,31.00,0.00,0.00,0.20,0.70,3.10
Photographic process workers and processing machine operators,51-9151,Line item,12.30,9.90,0.00,0.00,-2.40,-19.40,1.30
Computer numerically controlled tool operators and programmers,51-9160,Summary,178.20,173.00,0.10,0.10,-5.10,-2.90,14.80
Computer numerically controlled tool operators,51-9161,Line item,152.40,141.70,0.10,0.10,-10.70,-7.00,11.80
Computer numerically controlled tool programmers,51-9162,Line item,25.70,31.30,0.00,0.00,5.60,21.90,3.10
Miscellaneous production workers,51-9190,Summary,766.10,783.10,0.50,0.50,17.00,2.20,90.10
Adhesive bonding machine operators and tenders,51-9191,Line item,14.00,13.70,0.00,0.00,-0.20,-1.80,1.40
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,16.30,16.50,0.00,0.00,0.20,1.40,2.30
Cooling and freezing equipment operators and tenders,51-9193,Line item,9.40,9.80,0.00,0.00,0.40,3.80,1.00
Etchers and engravers,51-9194,Line item,12.90,12.30,0.00,0.00,-0.60,-4.60,1.30
"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,49.40,46.40,0.00,0.00,-3.00,-6.10,4.40
"Paper goods machine setters, operators, and tenders",51-9196,Line item,100.40,94.60,0.10,0.10,-5.70,-5.70,9.00
Tire builders,51-9197,Line item,21.00,21.10,0.00,0.00,0.10,0.50,1.90
Helpers--production workers,51-9198,Line item,304.20,325.00,0.20,0.20,20.80,6.80,44.10
"Production workers, all other",51-9199,Line item,238.60,243.70,0.10,0.10,5.10,2.10,24.70
Transportation and material moving occupations,53-0000,Summary,13134.80,13583.60,8.10,8.00,448.90,3.40,1531.20
Supervisors of transportation and material moving workers,53-1000,Summary,466.30,490.40,0.30,0.30,24.00,5.20,46.30
Aircraft cargo handling supervisors,53-1041,Line item,9.60,10.20,0.00,0.00,0.50,5.40,1.00
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors",53-1047,Line item,456.70,480.20,0.30,0.30,23.50,5.10,45.30
Air transportation workers,53-2000,Summary,284.20,312.20,0.20,0.20,28.10,9.90,32.10
Aircraft pilots and flight engineers,53-2010,Summary,127.10,133.30,0.10,0.10,6.10,4.80,12.70
"Airline pilots, copilots, and flight engineers",53-2011,Line item,85.50,87.90,0.10,0.10,2.40,2.80,8.30
Commercial pilots,53-2012,Line item,41.60,45.40,0.00,0.00,3.80,9.10,4.40
Air traffic controllers and airfield operations specialists,53-2020,Summary,35.20,36.00,0.00,0.00,0.80,2.30,2.90
Air traffic controllers,53-2021,Line item,24.30,24.50,0.00,0.00,0.10,0.50,2.00
Airfield operations specialists,53-2022,Line item,10.90,11.50,0.00,0.00,0.70,6.10,1.00
Flight attendants,53-2031,Line item,121.90,143.00,0.10,0.10,21.10,17.30,16.50
Motor vehicle operators,53-3000,Summary,4689.20,4913.40,2.90,2.90,224.20,4.80,516.80
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,14.90,16.30,0.00,0.00,1.40,9.40,1.70
Driver/sales workers and truck drivers,53-3030,Summary,3535.90,3641.50,2.20,2.20,105.60,3.00,372.30
Driver/sales workers,53-3031,Line item,487.40,501.90,0.30,0.30,14.50,3.00,51.30
Heavy and tractor-trailer truck drivers,53-3032,Line item,2029.90,2060.50,1.20,1.20,30.60,1.50,209.20
Light truck drivers,53-3033,Line item,1018.60,1079.10,0.60,0.60,60.50,5.90,111.80
Passenger vehicle drivers,53-3050,Summary,1076.70,1192.00,0.70,0.70,115.30,10.70,132.90
"Bus drivers, transit and intercity",53-3052,Line item,223.40,244.20,0.10,0.10,20.80,9.30,28.90
"Passenger vehicle drivers, except bus drivers, transit and intercity",53-3058,Line item,853.30,947.80,0.50,0.60,94.40,11.10,104.00
"Motor vehicle operators, all other",53-3099,Line item,61.70,63.60,0.00,0.00,1.90,3.10,9.90
Rail transportation workers,53-4000,Summary,90.90,88.80,0.10,0.10,-2.10,-2.30,7.10
Locomotive engineers and operators,53-4010,Summary,32.60,31.30,0.00,0.00,-1.30,-4.00,2.30
Locomotive engineers,53-4011,Line item,27.40,26.50,0.00,0.00,-1.00,-3.50,1.90
"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,5.20,4.90,0.00,0.00,-0.40,-6.80,0.30
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,9.10,8.60,0.00,0.00,-0.50,-5.50,0.70
Railroad conductors and yardmasters,53-4031,Line item,36.00,35.20,0.00,0.00,-0.80,-2.10,2.90
Subway and streetcar operators,53-4041,Line item,10.70,11.30,0.00,0.00,0.60,5.30,1.10
"Rail transportation workers, all other",53-4099,Line item,2.50,2.40,0.00,0.00,-0.10,-4.70,0.20
Water transportation workers,53-5000,Summary,81.90,82.10,0.10,0.00,0.20,0.20,8.10
Sailors and marine oilers,53-5011,Line item,31.90,32.20,0.00,0.00,0.30,0.90,3.60
Ship and boat captains and operators,53-5020,Summary,41.40,41.20,0.00,0.00,-0.10,-0.30,3.50
"Captains, mates, and pilots of water vessels",53-5021,Line item,38.90,38.70,0.00,0.00,-0.10,-0.30,3.30
Motorboat operators,53-5022,Line item,2.50,2.50,0.00,0.00,0.00,0.10,0.20
Ship engineers,53-5031,Line item,8.70,8.70,0.00,0.00,0.10,0.70,1.00
Other transportation workers,53-6000,Summary,373.50,391.20,0.20,0.20,17.70,4.70,50.30
Bridge and lock tenders,53-6011,Line item,3.30,3.30,0.00,0.00,0.00,1.30,0.30
Parking attendants,53-6021,Line item,149.80,160.60,0.10,0.10,10.90,7.20,22.80
Automotive and watercraft service attendants,53-6031,Line item,118.80,121.60,0.10,0.10,2.80,2.40,16.30
Traffic technicians,53-6041,Line item,7.70,8.20,0.00,0.00,0.50,6.00,0.80
Transportation inspectors,53-6051,Line item,30.20,30.90,0.00,0.00,0.70,2.40,2.90
Passenger attendants,53-6061,Line item,28.00,29.20,0.00,0.00,1.20,4.40,3.70
"Aircraft service attendants and transportation workers, all other",53-6098,Line item,35.80,37.40,0.00,0.00,1.60,4.40,3.50
Material moving workers,53-7000,Summary,7148.70,7305.50,4.40,4.30,156.80,2.20,870.50
Conveyor operators and tenders,53-7011,Line item,23.90,24.00,0.00,0.00,0.10,0.40,2.70
Crane and tower operators,53-7021,Line item,45.70,46.50,0.00,0.00,0.80,1.70,4.50
Dredge operators,53-7031,Line item,1.60,1.70,0.00,0.00,0.10,4.50,0.20
Hoist and winch operators,53-7041,Line item,4.90,4.60,0.00,0.00,-0.20,-5.00,0.50
Industrial truck and tractor operators,53-7051,Line item,634.70,652.30,0.40,0.40,17.50,2.80,64.30
Laborers and material movers,53-7060,Summary,6233.80,6358.90,3.80,3.80,125.10,2.00,772.20
Cleaners of vehicles and equipment,53-7061,Line item,408.40,423.10,0.30,0.30,14.70,3.60,53.90
"Laborers and freight, stock, and material movers, hand",53-7062,Line item,2986.00,3111.70,1.80,1.80,125.70,4.20,380.60
Machine feeders and offbearers,53-7063,Line item,62.90,63.00,0.00,0.00,0.10,0.20,7.00
"Packers and packagers, hand",53-7064,Line item,640.80,609.90,0.40,0.40,-30.90,-4.80,75.80
Stockers and order fillers,53-7065,Line item,2135.80,2151.30,1.30,1.30,15.50,0.70,254.90
Pumping station operators,53-7070,Summary,28.30,29.80,0.00,0.00,1.50,5.40,3.10
Gas compressor and gas pumping station operators,53-7071,Line item,3.70,3.60,0.00,0.00,-0.10,-2.10,0.40
"Pump operators, except wellhead pumpers",53-7072,Line item,10.50,11.50,0.00,0.00,1.00,9.70,1.20
Wellhead pumpers,53-7073,Line item,14.10,14.70,0.00,0.00,0.60,4.20,1.50
Refuse and recyclable material collectors,53-7081,Line item,133.60,145.40,0.10,0.10,11.70,8.80,18.20
"Tank car, truck, and ship loaders",53-7121,Line item,12.20,12.00,0.00,0.00,-0.20,-1.70,1.30
"Material moving workers, all other",53-7199,Line item,29.80,30.30,0.00,0.00,0.50,1.50,3.30
,,,,,,,,,
