Title,Code,Type,2019EmpNum,2029EmpProjNum,ChgNum,ChgPct,PctSelfEmp, AnnAvgOpens ,MedWage,Education,Experience,Training
"Court, municipal, and license clerks",43-4031,Line item,163.70,171.60,7.90,4.80,2.50,15.60,39380.00,High school diploma or equivalent,None,Long-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,Line item,26.90,25.60,-1.30,-4.80,—,2.20,40100.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Customer service representatives,43-4051,Line item,3018.80,2959.80,-59.00,-2.00,0.40,350.20,34710.00,High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,Line item,147.50,153.10,5.70,3.80,—,13.70,46590.00,High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,43-4071,Line item,106.70,91.10,-15.60,-14.60,0.40,9.40,32710.00,High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,Line item,276.50,257.40,-19.10,-6.90,0.80,38.50,24470.00,High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,Line item,201.90,207.00,5.10,2.50,1.70,23.90,34970.00,High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,Line item,90.50,87.00,-3.50,-3.80,—,12.20,27490.00,High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,Line item,212.60,230.30,17.70,8.30,0.40,21.20,40640.00,High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,43-4141,Line item,44.30,37.80,-6.50,-14.70,0.60,3.40,36550.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,Line item,146.00,129.10,-16.80,-11.50,5.70,12.80,34240.00,"Some college, no degree",None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,123.90,117.70,-6.20,-5.00,1.40,11.50,41430.00,Associate's degree,None,None
Receptionists and information clerks,43-4171,Line item,1105.30,1144.70,39.50,3.60,1.00,139.20,30050.00,High school diploma or equivalent,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,126.30,122.70,-3.70,-2.90,1.10,12.50,38380.00,High school diploma or equivalent,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,Line item,166.50,171.50,5.10,3.00,0.70,17.80,41360.00,High school diploma or equivalent,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,2206.10,2093.60,-112.50,-5.10,2.30,171.90,40320.00,—,—,—
Cargo and freight agents,43-5011,Line item,97.20,102.60,5.40,5.50,—,9.10,43740.00,High school diploma or equivalent,None,Short-term on-the-job training
Couriers and messengers,43-5021,Line item,121.80,119.10,-2.70,-2.20,36.20,10.40,29690.00,High school diploma or equivalent,None,Short-term on-the-job training
Dispatchers,43-5030,Summary,302.90,307.10,4.20,1.40,1.10,26.30,40780.00,—,—,—
Public safety telecommunicators,43-5031,Line item,98.30,104.30,6.10,6.20,—,9.20,41910.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,204.60,202.70,-1.90,-0.90,1.70,17.10,40190.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Meter readers, utilities",43-5041,Line item,30.90,27.40,-3.60,-11.50,—,2.20,42280.00,High school diploma or equivalent,None,Short-term on-the-job training
Postal service workers,43-5050,Summary,503.10,430.90,-72.20,-14.30,—,25.60,52060.00,—,—,—
Postal service clerks,43-5051,Line item,78.10,67.50,-10.50,-13.50,—,4.30,48330.00,High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,43-5052,Line item,326.60,282.50,-44.10,-13.50,—,16.10,51310.00,High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,98.50,80.90,-17.60,-17.80,—,5.20,60140.00,High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,Line item,378.50,393.30,14.80,3.90,0.00,37.50,48260.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, and inventory clerks",43-5071,Line item,710.40,648.80,-61.50,-8.70,0.30,54.30,34190.00,High school diploma or equivalent,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,61.30,64.50,3.10,5.10,1.00,6.40,35040.00,High school diploma or equivalent,None,Short-term on-the-job training
Secretaries and administrative assistants,43-6000,Summary,3638.80,3311.40,-327.40,-9.00,0.90,321.80,39850.00,—,—,—
Executive secretaries and executive administrative assistants,43-6011,Line item,593.40,472.40,-121.10,-20.40,0.90,42.30,60890.00,High school diploma or equivalent,Less than 5 years,None
Legal secretaries and administrative assistants,43-6012,Line item,171.80,133.80,-38.00,-22.10,1.10,11.80,47300.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries and administrative assistants,43-6013,Line item,623.40,682.70,59.30,9.50,1.10,72.60,36580.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,2250.20,2022.60,-227.50,-10.10,0.80,195.20,37690.00,High school diploma or equivalent,None,Short-term on-the-job training
Other office and administrative support workers,43-9000,Summary,4033.30,3804.40,-228.90,-5.70,1.30,396.30,34670.00,—,—,—
Data entry and information processing workers,43-9020,Summary,225.10,163.50,-61.60,-27.40,4.00,13.80,34920.00,—,—,—
Data entry keyers,43-9021,Line item,172.40,130.00,-42.40,-24.60,3.10,10.90,33490.00,High school diploma or equivalent,None,Short-term on-the-job training
Word processors and typists,43-9022,Line item,52.70,33.50,-19.20,-36.40,6.80,2.90,40340.00,High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,43-9031,Line item,10.40,8.40,-2.00,-19.00,13.90,0.80,45390.00,Associate's degree,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,Line item,293.90,287.30,-6.60,-2.20,1.00,25.50,40750.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,88.40,82.50,-6.00,-6.70,1.20,8.30,30960.00,High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",43-9061,Line item,3126.30,2970.40,-155.90,-5.00,0.50,317.50,34040.00,High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,Line item,47.30,41.10,-6.20,-13.10,—,3.80,33450.00,High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,Line item,10.30,10.10,-0.30,-2.70,17.40,1.20,40630.00,Bachelor's degree,None,None
Statistical assistants,43-9111,Line item,10.80,11.50,0.70,6.40,1.40,1.30,49870.00,Bachelor's degree,None,None
"Office and administrative support workers, all other",43-9199,Line item,220.80,229.60,8.80,4.00,8.10,24.10,35470.00,High school diploma or equivalent,None,Short-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,Summary,1116.60,1115.10,-1.50,-0.10,4.20,159.70,27180.00,—,—,—
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,53.20,52.60,-0.60,-1.10,19.80,6.90,48280.00,—,—,—
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,53.20,52.60,-0.60,-1.10,19.80,6.90,48280.00,High school diploma or equivalent,Less than 5 years,None
Agricultural workers,45-2000,Summary,956.50,966.00,9.50,1.00,0.60,139.60,26030.00,—,—,—
Agricultural inspectors,45-2011,Line item,15.20,15.50,0.30,1.80,—,2.20,45490.00,Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,45-2021,Line item,8.40,8.10,-0.30,-3.20,—,1.20,42920.00,High school diploma or equivalent,None,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,Line item,38.30,38.30,0.00,0.00,0.20,5.00,25670.00,No formal educational credential,None,Short-term on-the-job training
Miscellaneous agricultural workers,45-2090,Summary,894.50,904.00,9.50,1.10,0.60,131.20,25820.00,—,—,—
Agricultural equipment operators,45-2091,Line item,70.30,78.30,8.00,11.40,0.60,11.60,31950.00,No formal educational credential,None,Moderate-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,566.50,587.90,21.40,3.80,0.80,85.80,25440.00,No formal educational credential,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,245.40,225.10,-20.30,-8.30,0.20,32.10,27830.00,No formal educational credential,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,Line item,12.30,12.70,0.40,2.90,0.70,1.80,29590.00,No formal educational credential,None,Short-term on-the-job training
Fishing and hunting workers,45-3000,Summary,36.70,33.90,-2.80,-7.70,33.80,4.60,,—,—,—
Fishing and hunting workers,45-3031,Line item,36.70,33.90,-2.80,-7.70,33.80,4.60,,No formal educational credential,None,Moderate-term on-the-job training
"Forest, conservation, and logging workers",45-4000,Summary,70.10,62.60,-7.60,-10.80,25.40,8.50,39090.00,—,—,—
Forest and conservation workers,45-4011,Line item,13.20,13.10,-0.10,-0.50,20.20,1.80,31770.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Logging workers,45-4020,Summary,56.90,49.40,-7.50,-13.20,26.60,6.70,41230.00,—,—,—
Fallers,45-4021,Line item,7.20,6.00,-1.20,-16.70,27.00,0.80,44650.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,Line item,39.20,34.30,-4.90,-12.50,26.50,4.70,41440.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,Line item,4.80,4.30,-0.60,-11.40,27.20,0.60,37280.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,Line item,5.70,4.90,-0.80,-14.50,26.10,0.70,39780.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Construction and extraction occupations,47-0000,Summary,7349.10,7645.40,296.30,4.00,14.90,733.90,47430.00,—,—,—
Supervisors of construction and extraction workers,47-1000,Summary,685.00,718.00,33.00,4.80,8.00,65.50,66210.00,—,—,—
First-line supervisors of construction trades and extraction workers,47-1011,Line item,685.00,718.00,33.00,4.80,8.00,65.50,66210.00,High school diploma or equivalent,5 years or more,None
Construction trades workers,47-2000,Summary,5681.00,5872.40,191.30,3.40,17.90,550.90,46340.00,—,—,—
Boilermakers,47-2011,Line item,15.90,16.00,0.10,0.90,—,1.40,63100.00,High school diploma or equivalent,None,Apprenticeship
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,98.70,93.00,-5.80,-5.90,26.80,7.80,51550.00,—,—,—
Brickmasons and blockmasons,47-2021,Line item,81.90,76.70,-5.20,-6.40,26.80,6.40,53100.00,High school diploma or equivalent,None,Apprenticeship
Stonemasons,47-2022,Line item,16.80,16.30,-0.50,-3.20,27.00,1.40,43280.00,High school diploma or equivalent,None,Apprenticeship
Carpenters,47-2031,Line item,1024.10,1019.90,-4.20,-0.40,27.70,89.00,48330.00,High school diploma or equivalent,None,Apprenticeship
"Carpet, floor, and tile installers and finishers",47-2040,Summary,123.40,127.50,4.10,3.30,27.90,10.70,42050.00,—,—,—
Carpet installers,47-2041,Line item,36.50,33.30,-3.20,-8.90,28.00,2.50,40090.00,No formal educational credential,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,22.90,25.20,2.30,9.90,27.90,2.20,44240.00,No formal educational credential,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,Line item,7.00,7.10,0.20,2.20,27.90,0.60,39610.00,No formal educational credential,None,Moderate-term on-the-job training
Tile and stone setters,47-2044,Line item,57.00,61.90,4.90,8.60,27.80,5.40,43050.00,No formal educational credential,None,Long-term on-the-job training
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,203.40,199.20,-4.30,-2.10,1.60,17.00,44870.00,—,—,—
Cement masons and concrete finishers,47-2051,Line item,200.40,196.40,-3.90,-2.00,1.60,16.80,44810.00,No formal educational credential,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,Line item,3.00,2.70,-0.30,-10.30,—,0.20,52180.00,High school diploma or equivalent,None,Apprenticeship
Construction laborers,47-2061,Line item,1398.00,1473.40,75.40,5.40,26.70,141.10,36860.00,No formal educational credential,None,Short-term on-the-job training
Construction equipment operators,47-2070,Summary,468.30,487.50,19.20,4.10,1.80,49.50,48160.00,—,—,—
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,46.60,48.80,2.20,4.70,1.70,5.20,40130.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Pile driver operators,47-2072,Line item,3.60,3.80,0.20,4.40,2.20,0.40,62600.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,Line item,418.00,434.90,16.90,4.00,1.80,43.90,48980.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,146.90,146.60,-0.30,-0.20,17.80,11.80,47360.00,—,—,—
Drywall and ceiling tile installers,47-2081,Line item,125.10,125.60,0.50,0.40,17.80,10.10,45700.00,No formal educational credential,None,Moderate-term on-the-job training
Tapers,47-2082,Line item,21.80,21.00,-0.90,-4.00,17.80,1.60,59070.00,No formal educational credential,None,Moderate-term on-the-job training
Electricians,47-2111,Line item,739.20,801.40,62.20,8.40,5.00,82.20,56180.00,High school diploma or equivalent,None,Apprenticeship
Glaziers,47-2121,Line item,52.80,54.80,2.10,3.90,0.90,5.40,44630.00,High school diploma or equivalent,None,Apprenticeship
Insulation workers,47-2130,Summary,61.30,63.10,1.80,2.90,1.10,6.00,44180.00,—,—,—
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,34.00,34.50,0.60,1.60,1.10,3.20,40380.00,No formal educational credential,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,Line item,27.30,28.60,1.20,4.50,1.00,2.70,48690.00,High school diploma or equivalent,None,Apprenticeship
Painters and paperhangers,47-2140,Summary,385.00,385.90,0.80,0.20,37.70,32.80,40280.00,—,—,—
"Painters, construction and maintenance",47-2141,Line item,379.50,380.30,0.90,0.20,37.70,32.30,40280.00,No formal educational credential,None,Moderate-term on-the-job training
Paperhangers,47-2142,Line item,5.60,5.50,0.00,-0.80,39.10,0.50,40520.00,No formal educational credential,None,Long-term on-the-job training
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,529.00,551.80,22.80,4.30,8.20,53.80,53900.00,—,—,—
Pipelayers,47-2151,Line item,38.90,40.70,1.80,4.70,7.20,4.00,38820.00,No formal educational credential,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,490.20,511.10,20.90,4.30,8.30,49.80,55160.00,High school diploma or equivalent,None,Apprenticeship
Plasterers and stucco masons,47-2161,Line item,27.70,28.80,1.10,4.10,1.50,2.30,45440.00,No formal educational credential,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,Line item,18.80,19.80,0.90,5.00,—,2.60,49100.00,High school diploma or equivalent,None,Apprenticeship
Roofers,47-2181,Line item,161.60,165.40,3.80,2.40,18.50,14.70,42100.00,No formal educational credential,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,Line item,137.70,139.50,1.80,1.30,3.40,12.70,50400.00,High school diploma or equivalent,None,Apprenticeship
Structural iron and steel workers,47-2221,Line item,77.00,80.60,3.60,4.70,0.40,8.10,55040.00,High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,47-2231,Line item,12.00,18.10,6.10,50.50,6.00,2.30,44890.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers, construction trades",47-3000,Summary,245.90,251.50,5.60,2.30,0.40,29.00,32720.00,—,—,—
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,23.40,22.30,-1.10,-4.70,0.40,2.50,35410.00,No formal educational credential,None,Short-term on-the-job training
Helpers--carpenters,47-3012,Line item,33.20,33.70,0.40,1.30,0.40,3.90,33060.00,No formal educational credential,None,Short-term on-the-job training
Helpers--electricians,47-3013,Line item,81.10,82.30,1.20,1.50,0.40,9.50,32830.00,High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,11.00,11.20,0.20,1.90,—,1.30,31340.00,No formal educational credential,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,59.30,62.60,3.30,5.60,0.40,7.30,32100.00,High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,47-3016,Line item,9.10,9.50,0.30,3.50,—,1.10,32110.00,No formal educational credential,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,Line item,28.80,30.00,1.20,4.20,0.40,3.50,31910.00,No formal educational credential,None,Short-term on-the-job training
Other construction and related workers,47-4000,Summary,464.00,487.10,23.10,5.00,4.10,50.90,46510.00,—,—,—
Construction and building inspectors,47-4011,Line item,120.80,124.60,3.90,3.20,6.80,13.50,60710.00,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator and escalator installers and repairers,47-4021,Line item,28.90,30.80,1.90,6.60,—,3.00,84990.00,High school diploma or equivalent,None,Apprenticeship
Fence erectors,47-4031,Line item,34.20,35.00,0.80,2.20,24.80,3.40,35800.00,No formal educational credential,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,Line item,45.30,49.00,3.70,8.20,—,5.60,43900.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,Line item,156.10,163.80,7.80,5.00,0.20,16.50,40730.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators,47-4061,Line item,13.90,14.40,0.50,3.40,—,1.40,56100.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.70,33.80,3.10,10.10,0.90,3.50,39870.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,Line item,34.10,35.60,1.50,4.30,5.50,4.00,39720.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Extraction workers,47-5000,Summary,273.20,316.40,43.20,15.80,1.50,37.60,44940.00,—,—,—
"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,84.70,105.80,21.10,25.00,0.50,13.60,48340.00,—,—,—
"Derrick operators, oil and gas",47-5011,Line item,12.00,15.70,3.70,30.50,0.50,2.00,46990.00,No formal educational credential,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,Line item,20.90,26.60,5.60,26.90,0.50,3.40,54980.00,No formal educational credential,None,Moderate-term on-the-job training
"Service unit operators, oil and gas",47-5013,Line item,51.70,63.60,11.80,22.90,0.50,8.10,46740.00,No formal educational credential,None,Moderate-term on-the-job training
"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,46.10,47.40,1.30,2.90,3.70,5.10,44800.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Continuous mining machine operators,47-5041,Line item,15.00,15.30,0.30,2.30,2.50,1.70,55280.00,No formal educational credential,None,Moderate-term on-the-job training
"Roof bolters, mining",47-5043,Line item,3.30,2.80,-0.50,-16.00,2.40,0.30,59090.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Loading and moving machine operators, underground mining",47-5044,Line item,4.50,3.90,-0.60,-13.40,3.70,0.40,54210.00,No formal educational credential,None,Short-term on-the-job training
"Rock splitters, quarry",47-5051,Line item,5.10,5.20,0.20,3.60,2.50,0.60,36070.00,No formal educational credential,None,Short-term on-the-job training
"Roustabouts, oil and gas",47-5071,Line item,58.50,73.10,14.70,25.10,0.30,8.80,38910.00,No formal educational credential,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,Line item,16.90,20.30,3.40,20.20,2.50,2.40,37120.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",47-5097,Line item,25.30,27.30,2.00,7.80,1.70,3.00,46250.00,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
"Underground mining machine operators and extraction workers, all other",47-5098,Line item,14.10,15.40,1.30,9.30,2.50,1.80,50160.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, and repair occupations",49-0000,Summary,6128.00,6301.30,173.30,2.80,4.20,556.70,46630.00,—,—,—
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,499.10,512.40,13.30,2.70,0.20,42.10,67460.00,—,—,—
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,499.10,512.40,13.30,2.70,0.20,42.10,67460.00,High school diploma or equivalent,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,593.40,594.40,1.00,0.20,5.00,55.20,52570.00,—,—,—
"Computer, automated teller, and office machine repairers",49-2011,Line item,112.30,111.40,-0.90,-0.80,11.50,10.60,39530.00,"Some college, no degree",None,Short-term on-the-job training
Radio and telecommunications equipment installers and repairers,49-2020,Summary,230.70,225.60,-5.00,-2.20,3.30,22.50,57730.00,—,—,—
"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,15.00,15.50,0.60,3.70,3.10,1.60,55380.00,Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,215.70,210.10,-5.60,-2.60,3.30,20.90,57910.00,Postsecondary nondegree award,None,Moderate-term on-the-job training
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,250.40,257.30,6.90,2.80,3.80,22.10,54370.00,—,—,—
Avionics technicians,49-2091,Line item,22.80,23.80,1.00,4.40,—,1.70,65700.00,Associate's degree,None,None
"Electric motor, power tool, and related repairers",49-2092,Line item,17.90,18.60,0.70,4.10,9.90,1.90,44070.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,9.20,9.40,0.20,2.40,—,0.70,62530.00,Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,61.20,62.40,1.20,1.90,—,4.30,59300.00,Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,23.00,22.20,-0.70,-3.20,—,1.50,82780.00,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,10.40,8.00,-2.40,-23.20,—,0.70,37380.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Audiovisual equipment installers and repairers,49-2097,Line item,29.70,28.80,-0.80,-2.80,12.90,2.60,39510.00,Postsecondary nondegree award,None,Short-term on-the-job training
Security and fire alarm systems installers,49-2098,Line item,76.30,84.10,7.80,10.30,5.00,8.80,48970.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,1793.50,1793.00,-0.50,0.00,7.60,155.40,44590.00,—,—,—
Aircraft mechanics and service technicians,49-3011,Line item,137.20,143.50,6.30,4.60,0.30,11.20,64090.00,Postsecondary nondegree award,None,None
Automotive technicians and repairers,49-3020,Summary,936.30,912.80,-23.40,-2.50,11.80,77.50,42150.00,—,—,—
Automotive body and related repairers,49-3021,Line item,155.50,159.90,4.40,2.90,6.40,13.60,43580.00,High school diploma or equivalent,None,Long-term on-the-job training
Automotive glass installers and repairers,49-3022,Line item,24.30,24.20,-0.10,-0.40,19.20,2.20,35790.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians and mechanics,49-3023,Line item,756.60,728.80,-27.80,-3.70,12.60,61.70,42090.00,Postsecondary nondegree award,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,281.30,290.80,9.60,3.40,4.10,24.50,48500.00,High school diploma or equivalent,None,Long-term on-the-job training
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,218.10,218.90,0.90,0.40,2.50,19.40,51590.00,—,—,—
Farm equipment mechanics and service technicians,49-3041,Line item,40.80,41.30,0.50,1.30,2.50,3.70,42200.00,High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,152.90,154.00,1.10,0.70,2.40,13.70,53370.00,High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,49-3043,Line item,24.30,23.50,-0.80,-3.20,2.70,2.00,56390.00,High school diploma or equivalent,None,Long-term on-the-job training
Small engine mechanics,49-3050,Summary,78.10,80.30,2.20,2.80,8.50,7.70,37840.00,—,—,—
Motorboat mechanics and service technicians,49-3051,Line item,25.70,25.90,0.20,0.80,8.50,2.50,41330.00,High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,Line item,17.40,18.00,0.60,3.50,8.60,1.70,37600.00,Postsecondary nondegree award,None,Short-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,Line item,35.00,36.30,1.30,3.80,8.50,3.50,36100.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,142.60,146.60,4.10,2.80,1.00,15.20,29520.00,—,—,—
Bicycle repairers,49-3091,Line item,13.20,13.80,0.60,4.90,1.00,1.40,30330.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,Line item,15.90,16.80,0.80,5.10,1.00,1.80,38570.00,High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers and changers,49-3093,Line item,113.40,116.00,2.60,2.30,1.00,12.00,28640.00,High school diploma or equivalent,None,Short-term on-the-job training
"Other installation, maintenance, and repair occupations",49-9000,Summary,3242.10,3401.60,159.50,4.90,2.90,304.10,44100.00,—,—,—
Control and valve installers and repairers,49-9010,Summary,76.60,77.50,0.90,1.20,0.60,5.80,50640.00,—,—,—
Mechanical door repairers,49-9011,Line item,23.40,24.30,0.80,3.60,0.70,1.90,41570.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,Line item,53.10,53.20,0.10,0.20,0.60,4.00,58100.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,376.80,391.90,15.10,4.00,7.50,34.20,48730.00,Postsecondary nondegree award,None,Long-term on-the-job training
Home appliance repairers,49-9031,Line item,38.40,35.80,-2.70,-6.90,19.20,3.00,40260.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,522.20,592.10,70.00,13.40,0.60,51.30,52860.00,—,—,—
Industrial machinery mechanics,49-9041,Line item,399.40,461.70,62.30,15.60,0.70,40.50,53590.00,High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,Line item,73.20,77.70,4.50,6.10,—,6.40,47520.00,High school diploma or equivalent,None,Long-term on-the-job training
Millwrights,49-9044,Line item,48.70,52.10,3.40,6.90,0.30,4.30,55560.00,High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,Line item,0.80,0.70,-0.20,-19.30,—,0.00,53990.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Line installers and repairers,49-9050,Summary,238.60,238.60,0.00,0.00,1.70,20.70,65700.00,—,—,—
Electrical power-line installers and repairers,49-9051,Line item,115.00,116.90,2.00,1.70,1.60,8.90,72520.00,High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,Line item,123.60,121.60,-2.00,-1.60,1.80,11.80,56750.00,High school diploma or equivalent,None,Long-term on-the-job training
Precision instrument and equipment repairers,49-9060,Summary,82.40,84.00,1.60,1.90,12.20,7.90,48440.00,—,—,—
